原文,中译,属性,人物与另一词条相等情况,人物所属另一词条（团体）,作品所属另一词条（作者）,作品所属另一词条（专辑）（单曲或章节等情况下）,作品年份,mimida,翻译来源及注释（mimida）,Tian Tang,翻译来源及注释（Tian Tang）,redhousepainter,翻译来源及注释（redhousepainter）,Lil Bag,翻译来源及注释（Lil Bag）
《The Breaks》,小间奏,歌,,,Kurtis Blow,,1980,小间奏,breaks一词在歌中包含间奏、乐段、暂停、休息时间、霉运等多重意思，内容上可以理解为“（不过是些生活中的）小插曲”,晴天霹雳,或：突变情况/（这歌描述的都是生活中的各种坏事情和糟糕的情况，表达类似：“这就是生活，接受呗的”态度。）,,,,
《Hard Times》,艰难时光,歌,,,Kurtis Blow,,1980,艰难时光,,,,,,,
《If I Ruled the World》,若我统治这世界,歌,,,,,1985,若我统治这世界,,,,,,,
《Trans-Europe Express》,环欧快车,歌,,,Kraftwerk,,1977,环欧快车,,,,,,,
《Numbers》,数字,歌,,,Kraftwerk,,1981,数字,,,,,,,
《The Man-Machine》,人机合一,歌,,,Kraftwerk,,1978,,人-机,人机合一,或：机型人类,,,人型机,
《Tour de France》,环法自行车赛,歌,,,Kraftwerk,,1983,环法自行车赛,,,,,,,
《Jam On Revenge (The Wikki-Wikki Song)》,歌舞复仇（欢闹之歌）,歌,,,Newcleus,,1983,歌舞复仇（欢闹之歌）,,,,,,,
《Jam on It》,走起来,歌,,,Newcleus,,1984,走起来,,玩起来,这个Jam，跟Let’s Jam的jam是一个意思，好比几个人，带上乐器，一起随便玩玩，弹唱，就出现了一首新歌。,,,玩起来！,
《Jam on This! The Best of Newcleus》,跟着走起来！核新精选,专辑,,,Newcleus,,1997,跟着走起来！核新精选,,,,,,玩起来！核新精选,
《Buffalo Gals》,水牛城女孩,歌,,,Malcolm McLaren,,1982,水牛城女孩,,,,,,,
《Head Hunters》,猎头者,专辑,,,Herbie Hancock,,1973,猎头者,,,,,,,
《Rockit》,震翻天,歌,,,Herbie Hancock,《Future Shock》,1983,震翻天,,,,,,,
《Future Shock》,未来震撼,专辑,,,Herbie Hancock,,1983,未来震撼,,,,,,,
《ベストヒットUSA》,美国最佳热门金曲,影视剧,,,,,1981-,美国最佳热门金曲,,,,,,,
《Confusion》,困惑,歌,,,New Order,,1983,困惑,,,,,,,
《Thieves Like Us》,吾班窃贼,歌,,,New Order,,1984,吾班窃贼,,吾般窃贼,,,,,
《Girls Just Want to Have Fun》,女孩们只想找点乐子,歌,,,Cyndi Lauper,,1983,女孩们只想找点乐子,,,,,,,
《Time After Time》,一次又一次,歌,,,Cyndi Lauper,,1984,一次又一次,,,,,,,
《She Bop》,伊人摇摆,歌,,,Cyndi Lauper,,1984,伊人摇摆,,她摇摆/伊人摇曳,名字应该是关于跳舞的。这首歌其实关于女性自慰，但是她希望小朋友在年轻时候听了能够跟着跳舞，长大了能理解歌词的意思，所以比较隐晦。。,,,,
《Born in the U.S.A.》,生于美国,歌,,,Bruce Springsteen,,1984,生于美国,,,,,,,
《Cosmic Funk》,宇宙放克,专辑,,,Lonnie Liston Smith,,1974,宇宙放克,,,,,,,
《ブラック・ミュージック アフリカから世界へ》,黑人音乐：从非洲走向世界,书,,,Peter Barakan,,2009,黑人音乐：从非洲走向世界,,,,,,,
《猿はマンキお金はマニ》,猴子是MONKEY、金钱是MONEY,书,,,Peter Barakan,,2009,猴子是MONKEY、金钱是MONEY,,,,,,,
《魂（ソウル）のゆくえ》,魂（SOUL）的去向,书,,,Peter Barakan,,1989,魂（SOUL）的去向,,,,,,,
《The Structure of Scientific Revolutions》,科学革命的结构,书,,,Thomas Kuhn,,1962,科学革命的结构,,,,,,,
《湘南爆走族》,湘南爆走族,书,,,吉田聡,,1982-1988,湘南爆走族,,,,,,,
《ホットロード》,热血之路,书,,,,,1986-1987,热血之路,,,,,,,
《湘南純愛組》,湘南纯爱组,书,,,,,1990-1996,湘南纯爱组,,,,,,,
《疾風伝説　特攻の拓》,疾风传说 特攻之拓,书,,,,,1991-1997,疾风传说 特攻之拓,,,,,,,
《Soul Train》,灵魂列车,影视剧,,,,,1971-2006,灵魂列车,,,,,,,
《White Chicks》,小姐好白,影视剧,,,Wayans Brothers,,2004,小姐好白,,,,,,,
《Don't Be a Menace to South Central While Drinking Your Juice in the Hood》,笑枪走火,影视剧,,,Wayans Brothers,,1996,笑枪走火,,,,,,,
《The Signifying Monkey: A Theory of African-American Literary Criticism》,意指的猴子：一个非裔美国文学批评理论,书,,,"Henry Louis Gates, Jr.",,1988,意指的猴子：一个非裔美国文学批评理论,,,,,,,
《万葉集》,万叶集,书,,,,,,万叶集,,,,,,,
《新古今和歌集》,新古今和歌集,书,,,,,,新古今和歌集,,,,,,,
《600こちら情報部》,这里是600情报部,影视剧,,,,,1978-1984,这里是600情报部,,,,,,,
《笑っていいとも！》,笑一笑又何妨,影视剧,,,,,1982-2014,笑一笑又何妨,,,,,,,
《The Fortress of Solitude》,孤独堡垒,书,,,Jonathan Lethem,,2003,孤独堡垒,,,,,,,
《Where Did Our Love Go - The Rise & Fall Of The Motown-Sound》,我们的爱到哪儿去了？摩城之声兴衰史,书,,,Nelson George,,1986,我们的爱到哪儿去了？摩城之声兴衰史,,,,,,,
《The Death of Rhythm and Blues》,节奏布鲁斯之死,书,,,Nelson George,,1988,节奏布鲁斯之死,,,,,,,
《Hip Hop America》,嘻哈美国,书,,,Nelson George,,1998,嘻哈美国,,,,,,,
《ROOKIES》,教头当家,书,,,,,1998-2003,教头当家,,,,,,,
《アパッチ野球軍》,阿帕奇棒球队,书,,,,,1971-1972,阿帕奇棒球队,,,,,,,
《番頭はんと丁稚どん》,掌柜和学徒,影视剧,,,花登筺,,1959-1961,掌柜和学徒,,,,,,,
《細うで繁盛記》,纤臂繁盛记,影视剧,,,花登筺,,1970-1971,纤臂繁盛记,,,,,,,
《Buffalo ’66》,水牛城66,影视剧,,,Vincent Gallo,,1998,水牛城66,,,,,,,
《South Atlantic Quarterly》,南大西洋季刊,学术期刊,,,,,1901-,南大西洋季刊,,,,,,,
《More Brilliant Than the Sun: Adventures in Sonic Fiction》,比太阳更璀璨：声音幻想中的冒险,书,,,Kodwo Eshun,,1998,比太阳更璀璨：声音幻想中的冒险,,,,,,,
《Ten Percent》,百分之十,歌,,,Double Exposure,,1976,百分之十,,,,,,,
"《The Tommy Boy Story, Vol.1》",汤米小子故事 第一辑,专辑,,,Various Artists,,2006,汤米小子故事 第一辑,,,,,,,
《King Tim III》,提姆王三世,歌,,,Fatback Band,,1979,提姆王三世,,,,,,,
《I Can't Go For That》,我做不到,歌,,,Hall & Oates,,1981,,,我做不到 ,或：我办不到 / 无法苟同,,,,
《Big Bam Boom》,乒铃乓啷,专辑,,,Hall & Oates,,1984,乒铃乓啷,,噪很大,bam boom是鼓点的拟声词,,,,
